Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2010/2011,2011-02-05,Newcastle,Arsenal,4,4,D
2011/2012,2011-08-13,Newcastle,Arsenal,0,0,D
2012/2013,2013-05-19,Newcastle,Arsenal,1,1,A
2013/2014,2013-12-29,Newcastle,Arsenal,1,1,A
2014/2015,2015-03-21,Newcastle,Arsenal,2,2,A
2015/2016,2015-08-29,Newcastle,Arsenal,1,1,A
Print successful
